,activation,batch_size,epochs,loss,neurons,optimizer,patience,0
0,tanh,16,31,mse,73,rmsprop,4,0.6487310576625815
1,tanh,16,38,mse,44,adam,9,0.5920026091356044
2,relu,64,43,mae,95,rmsprop,9,0.5957511136254312
3,tanh,16,40,mae,66,adam,8,0.6754030772229913
4,relu,64,30,mse,91,rmsprop,20,0.5343675838170645
5,tanh,16,24,mse,18,rmsprop,7,0.6311590126987943
6,relu,64,33,mse,20,rmsprop,14,0.6116496432628421
7,tanh,32,34,mae,91,adam,3,0.5708806006151389
8,tanh,16,21,mae,35,adam,13,0.7196459355213188
9,relu,16,23,mae,65,rmsprop,18,0.7370819111125945
