optimizer,conv4_depth,learning_rate,version,pooling,conv3_depth,training_epoch_accuracy,validation_epoch_accuracy,training_epoch_loss,validation_epoch_loss,validation_evaluation_accuracy_vs_iterations,validation_evaluation_loss_vs_iterations
adam,6,0.1,v1,max,8,0.09984,0.099679999,2.31504178,2.320966244,0.099679999,2.320966244
sgd,23,0.01,next,avg,8,0.497706681,0.463120013,1.674765706,3.803110361,0.463120013,3.803110361
sgd,36,0.01,v2,avg,8,0.835706651,0.587840021,0.469197035,1.4200387,0.587840021,1.4200387
sgd,6,0.1,v2,avg,8,0.528506696,0.572799981,1.315562487,1.232945681,0.572799981,1.232945681
sgd,23,0.01,next,max,8,0.513999999,0.470400006,1.646224141,8.109625816,0.470400006,8.109625816
adam,6,0.001,next,avg,8,0.513679981,0.513520002,1.392611623,1.389980793,0.513520002,1.389980793
adam,6,0.001,v2,avg,8,0.784613311,0.694959998,0.615064859,0.921234012,0.694959998,0.921234012
adam,36,0.1,v2,max,8,0.09938667,0.102320001,2.315155745,5.186056137,0.102320001,5.186056137
sgd,6,0.001,v1,max,4,0.651626647,0.502960026,0.98685354,1.50869298,0.502960026,1.50869298
rmsprop,36,0.001,next,max,8,0.765733361,0.659600019,0.712789476,1.04937911,0.659600019,1.04937911
adam,23,0.001,next,avg,4,0.411386669,0.405440003,1.714302301,3.417430878,0.405440003,3.417430878
rmsprop,6,0.01,next,max,4,0.75999999,0.650399983,0.706223905,6.952096939,0.650399983,6.952096939
rmsprop,23,0.01,next,avg,8,0.751386642,0.622080028,0.723329961,1.341924071,0.622080028,1.341924071
adam,6,0.001,v1,max,8,0.500293314,0.5176,1.467147231,1.475845337,0.5176,1.475845337
sgd,23,0.001,v2,max,8,0.59629333,0.516640007,1.13171792,1.358788848,0.516640007,1.358788848
adam,23,0.001,v1,avg,4,0.623786688,0.345999986,1.115116596,2.097165346,0.345999986,2.097165346
rmsprop,6,0.001,next,max,4,0.801306665,0.615679979,0.590606987,3.253199339,0.615679979,3.253199339
rmsprop,36,0.01,v1,avg,8,0.741999984,0.66584003,0.745041251,2.951662302,0.66584003,2.951662302
rmsprop,23,0.001,v2,avg,8,0.843066692,0.679199994,0.453708291,1.033982754,0.679199994,1.033982754
adam,23,0.001,v1,avg,8,0.436293334,0.381599993,1.603669047,2.546482801,0.381599993,2.546482801
rmsprop,6,0.01,v2,avg,8,0.760613322,0.647920012,0.682209551,1.390646696,0.647920012,1.390646696
rmsprop,6,0.001,v2,avg,8,0.876613319,0.695760012,0.354817718,1.052056789,0.695760012,1.052056789
rmsprop,23,0.01,v2,avg,8,0.753946662,0.671519995,0.710224688,1.019839406,0.671519995,1.019839406
sgd,36,0.01,v1,avg,8,0.610773325,0.545679986,1.35135138,5.306503773,0.545679986,5.306503773
rmsprop,36,0.001,v2,avg,8,0.86303997,0.707120001,0.393355966,1.005858064,0.707120001,1.005858064
