pooling,sep_num_filters,initial_strides,conv2d_num_filters,learning_rate,num_dense_layers,kernel_size,dense_use_bn,activation,num_residual_blocks,dropout_rate,training_epoch_accuracy,validation_epoch_accuracy,training_epoch_loss,validation_epoch_loss,validaiton_evaluation_accuracy_vs_iterations,validation_evaluation_loss_vs_iterations
flatten,512,2,64,0.0001,1,3,0,relu,4,0.5,0.113333337,0.109466664,2.301144361,2.301715136,0.109466664,2.301715136
max,512,2,32,1.00E-05,1,3,1,relu,2,0.3,0.748444438,0.907666683,1.057565689,0.909459293,0.907666683,0.909459293
flatten,640,2,64,0.001,2,3,0,selu,7,0.3,0.104844444,0.103733331,2.316979408,2.530014038,0.103733331,2.530014038
avg,768,2,32,1.00E-05,3,3,1,relu,2,0,0.866266668,0.875800014,0.782080233,0.727556288,0.875800014,0.727556288
avg,128,2,64,1.00E-05,1,3,0,selu,6,0,0.374155551,0.388200015,1.742665648,1.70007503,0.388200015,1.70007503
flatten,256,2,32,0.0001,3,3,0,relu,4,0.3,0.113333337,0.109466664,2.301143646,2.301712036,0.109466664,2.301712036
max,384,2,32,1.00E-05,1,5,0,relu,5,0.2,0.792311132,0.957466662,0.615760624,0.27039957,0.957466662,0.27039957
flatten,512,2,64,1.00E-05,3,3,0,relu,5,0,0.766155541,0.759199977,0.75988847,0.751560986,0.759199977,0.751560986
avg,768,2,64,0.0001,2,3,0,relu,4,0.2,0.580066681,0.915400028,1.131210089,0.726417124,0.915400028,0.726417124
flatten,384,2,64,1.00E-05,1,3,0,selu,4,0.2,0.797511101,0.915600002,0.641900778,0.319606423,0.915600002,0.319606423
max,384,2,64,0.001,2,5,1,selu,5,0.2,0.640044451,0.841199994,1.078075171,0.438657522,0.841199994,0.438657522
avg,128,2,128,1.00E-05,2,3,1,selu,4,0.4,0.13097778,0.188933328,2.369964123,2.284102678,0.188933328,2.284102678
max,640,2,128,0.001,3,5,1,relu,3,0.3,0.61115557,0.938066661,1.049520373,0.401712626,0.938066661,0.401712626
avg,128,2,64,1.00E-05,2,5,1,selu,2,0,0.317488879,0.316333324,1.825841546,1.774214268,0.316333324,1.774214268
max,768,2,128,0.001,3,5,1,selu,3,0.3,0.291155547,0.397599995,1.785589457,1.530092239,0.397599995,1.530092239
avg,512,2,32,1.00E-05,2,3,1,relu,2,0.3,0.528511107,0.869400024,1.435172915,1.141902924,0.869400024,1.141902924
flatten,768,2,32,1.00E-05,1,5,0,selu,2,0.1,0.876422226,0.937666655,0.428204298,0.236186087,0.937666655,0.236186087
flatten,256,2,128,1.00E-05,3,5,1,relu,7,0,0.822755575,0.84646666,0.870210409,0.792452216,0.84646666,0.792452216
max,512,2,32,0.001,2,5,0,relu,2,0.2,0.113333337,0.109466664,2.301177979,2.302018166,0.109466664,2.302018166
max,512,2,128,0.001,3,3,0,selu,3,0.1,0.85860002,0.973733306,0.474766493,0.181171283,0.973733306,0.181171283
avg,512,2,32,0.0001,1,3,0,relu,4,0.4,0.559488893,0.965799987,1.19298017,0.518754125,0.965799987,0.518754125
flatten,128,2,32,1.00E-05,1,3,0,relu,3,0.1,0.898088872,0.961066663,0.315862924,0.163644999,0.961066663,0.163644999
avg,256,2,32,0.0001,1,5,0,selu,2,0.3,0.74897778,0.916333318,0.725026011,0.298408628,0.916333318,0.298408628
flatten,512,2,128,0.0001,3,3,1,relu,2,0.5,0.319155544,0.835066676,1.794986248,1.321343303,0.835066676,1.321343303
max,256,2,32,0.001,1,5,1,selu,4,0,0.984911084,0.961799979,0.047470089,0.130642191,0.961799979,0.130642191
